"brand","model","color","price","km","year","transmission","eng_capacity","fuel_type","consumption","drive_type","location","link","insertdate","id","eng_power_kw","eng_power_hp","age"
"Citroen","C3 Aircross","White",15799,25081,2019,"Manual",1499,"Diesel",4,"4x2","Spain","https://carvago.com/car/51170361/citroen-c3-aircross-100-stop-start-75-kw","14/09/2022","51170361",75,102,3
"Audi","A3","Grey",29399,586,2022,"Automatic",1498,"Petrol",5.2,"4x2","Germany","https://carvago.com/car/51762157/audi-a3-35-tfsi-s-limousine-tronic-110-kw","14/09/2022","51762157",110,150,0
"BMW","320","Grey",29949,44904,2019,"Automatic",1995,"Diesel",4.6,"4x2","Germany","https://carvago.com/car/50480555/bmw-320-d-advantage-140-kw","14/09/2022","50480555",140,190,3
"Fiat","Talento","White",20449,25500,2019,"Manual",1598,"Diesel",5.7,"4x2","Germany","https://carvago.com/car/51188914/fiat-talento-l2h1-sx-88-kw","14/09/2022","51188914",88,120,3
"BMW","330","Black",48199,9000,2022,"Automatic",1998,"Petrol",6,"4x4","Poland","https://carvago.com/car/51788031/bmw-330-i-xdrive-m-sport-190-kw","14/09/2022","51788031",190,258,0
"Volvo","V60 Cross Country","White",39699,3500,2022,"Automatic",1969,"Diesel",5,"4x4","Sweden","https://carvago.com/car/51861083/volvo-v60-cross-country-146-kw","14/09/2022","51861083",146,199,0
"Renault","Master","White",14899,170116,2017,"Manual",2298,"Diesel",7,"4x2","Netherlands","https://carvago.com/car/51748254/renault-master-125-kw","14/09/2022","51748254",125,170,5
"BMW","120","Black",25849,28220,2019,"Automatic",1995,"Diesel",5,"4x4","Sweden","https://carvago.com/car/49922401/bmw-120-140-kw","14/09/2022","49922401",140,190,3
"Dodge","Charger","Black",34699,88100,2016,"Automatic",5654,"Petrol",NA,NA,"Germany","https://carvago.com/car/4054614/dodge-charger-275-kw","14/09/2022","4054614",275,374,6
"BMW","i3",NA,27249,19995,2019,"Automatic",NA,"Electric",NA,NA,"France","https://carvago.com/car/44203714/bmw-i3-120-ah-127-kw","14/09/2022","44203714",127,173,3
"Opel","Movano","White",23999,34865,2019,"Manual",2298,"Diesel",NA,NA,"Italy","https://carvago.com/car/51840052/opel-movano-96-kw","14/09/2022","51840052",96,131,3
